T2M,PRECTOTCORR,WS2M,PS,RH2M,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT
21.81,0.01,1.28,94.69,93.06,61.58,7.16,0.06,0.3,67.4
23.54,0.01,1.22,94.75,83.81,136.98,16.26,0.29,1.45,165.85
21.15,0.01,0.54,94.75,91.25,74.52,8.29,0.07,0.35,74.7
23.0,0.01,0.49,94.81,79.31,175.25,20.33,0.36,1.8,177.23
25.1,0.01,0.61,94.81,65.62,268.6,33.41,0.86,4.4,280.65
21.07,0.01,1.08,94.87,89.75,50.58,6.36,0.06,0.3,69.02
22.83,0.01,1.1,94.93,80.44,129.7,16.19,0.31,1.55,169.73
18.74,0.03,1.47,94.76,88.56,57.38,6.65,0.05,0.25,58.15
20.33,0.02,1.46,94.84,81.56,138.0,15.86,0.27,1.33,149.33
22.89,0.01,1.29,94.84,72.5,230.83,27.48,0.66,3.35,245.25
17.83,0.01,1.62,94.84,76.31,58.2,6.74,0.05,0.25,58.77
18.55,0.01,0.93,94.86,78.0,51.95,6.19,0.05,0.25,55.75
21.3,0.01,0.99,94.91,65.81,121.75,14.44,0.27,1.35,149.58
19.55,0.03,0.84,94.83,90.44,48.27,5.91,0.05,0.23,60.98
21.69,0.03,0.89,94.9,83.31,121.08,14.78,0.27,1.33,160.58
24.44,0.02,1.21,94.89,73.81,209.15,26.13,0.67,3.52,261.25
26.42,0.01,1.25,94.83,65.06,292.02,37.09,1.17,6.3,340.62
27.84,0.01,1.13,94.75,58.5,367.67,46.96,1.59,8.42,389.15
28.85,0.01,1.06,94.65,53.75,350.33,43.29,1.48,7.92,378.05
29.14,0.01,1.02,94.54,51.25,321.9,39.12,1.32,6.62,356.1
21.45,0.03,0.87,94.9,93.88,36.48,4.45,0.03,0.17,52.58
23.14,0.03,1.14,94.96,85.81,107.05,12.88,0.23,1.15,144.75
25.18,0.02,1.13,94.96,74.5,186.92,23.0,0.59,3.15,245.12
26.95,0.02,1.07,94.92,65.06,267.15,33.16,1.03,5.52,324.8
28.28,0.02,1.17,94.85,58.19,316.67,39.62,1.36,6.8,375.0
29.07,0.02,1.32,94.75,53.56,312.3,38.57,1.34,6.85,376.92
29.36,0.02,1.36,94.64,51.25,309.77,37.99,1.27,6.38,355.17
29.3,0.02,1.3,94.56,50.56,269.1,32.34,0.96,5.2,299.77
28.9,0.01,1.14,94.54,51.62,198.38,23.19,0.54,2.77,217.62
28.13,0.01,0.86,94.55,56.0,116.95,13.23,0.2,1.0,122.8
26.62,0.01,0.53,94.59,68.5,36.8,4.38,0.02,0.12,38.42
21.56,0.04,1.2,94.78,93.75,42.45,4.98,0.04,0.2,55.5
