YEAR,T2M,PRECTOTCORR,WS2M,PS,RH2M,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT
2015,20.23,0,1,94.47,100,0,0,0,0,0
2015,20.19,0,0.95,94.46,100,0,0,0,0,0
2015,20.09,0,0.86,94.46,100,0,0,0,0,0
2015,19.9,0.01,0.77,94.5,100,0,0,0,0,0
2015,19.74,0.01,0.69,94.55,100,0,0,0,0,0
2015,19.93,0.01,0.6,94.62,100,6.27,0.8,0,0.02,6.23
2015,21.81,0.01,1.28,94.69,93.06,61.58,7.16,0.06,0.3,67.4
2015,23.54,0.01,1.22,94.75,83.81,136.98,16.26,0.29,1.45,165.85
2015,25.43,0,0.85,94.74,73.81,215.1,26.72,0.69,3.6,263.1
2015,27.15,0,0.82,94.71,64.75,290.6,36.93,1.15,6.15,338.55
2015,28.4,0,1.06,94.63,58.38,365.27,46.6,1.55,8.15,383.4
2015,29.14,0,1.24,94.52,54.44,363.88,46.31,1.56,8.3,387.75
2015,29.48,0,1.27,94.42,51.75,325.92,41.38,1.35,6.98,364.8
2015,29.44,0,1.2,94.36,50.62,292.65,36.23,1.02,5.35,308.5
2015,29.04,0,1.02,94.34,51.19,210.98,25.16,0.55,2.77,224.3
2015,28.29,0,0.71,94.37,55.5,120.25,13.65,0.19,0.92,124.67
2015,26.76,0,0.42,94.42,66.38,34.6,4.16,0.02,0.1,36.4
2015,24.44,0,0.39,94.49,73.75,0,0,0,0,0
2015,23.52,0,0.52,94.58,75.56,0,0,0,0,0
2015,22.86,0,0.63,94.65,78.31,0,0,0,0,0
2015,22.07,0,0.71,94.66,82.25,0,0,0,0,0
2015,21.14,0,0.77,94.65,87.62,0,0,0,0,0
2015,20.3,0,0.79,94.62,93.06,0,0,0,0,0
2015,19.65,0,0.79,94.59,98.75,0,0,0,0,0
2015,19.23,0,0.76,94.55,100,0,0,0,0,0
2015,19.43,0.01,0.72,94.52,100,0,0,0,0,0
2015,19.37,0.01,0.68,94.51,100,0,0,0,0,0
2015,19.28,0.01,0.67,94.53,100,0,0,0,0,0
2015,19.29,0.01,0.63,94.58,100,0,0,0,0,0
2015,19.55,0.01,0.49,94.66,98.75,6,0.77,0,0.02,6.58
2015,21.15,0.01,0.54,94.75,91.25,74.52,8.29,0.07,0.35,74.7
2015,23,0.01,0.49,94.81,79.31,175.25,20.33,0.36,1.8,177.23
2015,25.1,0.01,0.61,94.81,65.62,268.6,33.41,0.86,4.4,280.65
2015,26.83,0,0.89,94.77,55.69,337.58,43.63,1.37,7.27,356.6
2015,28.16,0,1.16,94.72,49.44,394.2,51.55,1.77,9.5,401.58
2015,29.01,0,1.26,94.64,46,385.12,49.59,1.71,9.27,395.48
2015,29.37,0,1.18,94.55,44.69,328.77,42.23,1.4,7.4,371.12
2015,29.35,0,1.09,94.5,44.75,295.65,36.96,1.08,5.67,314.05
2015,28.89,0,0.98,94.48,46.62,216.38,25.95,0.59,3,229.12
2015,28.07,0,0.78,94.51,52.19,122.92,13.95,0.2,1,127.67
2015,26.4,0,0.61,94.56,63.06,36.8,4.37,0.02,0.1,37.45
2015,23.5,0,0.62,94.63,74.81,0,0,0,0,0
2015,22.4,0,0.74,94.7,78.12,0,0,0,0,0
2015,21.59,0,0.8,94.75,81.88,0,0,0,0,0
2015,20.89,0,0.81,94.75,86.12,0,0,0,0,0
2015,20.25,0,0.8,94.74,90.88,0,0,0,0,0
2015,19.75,0,0.8,94.72,95,0,0,0,0,0
2015,19.37,0,0.8,94.69,99.31,0,0,0,0,0
